result,dif_goal,dif_possession,dif_shot_on_goal,dif_shot,dif_corner
0,0.2857142857142856,0.12428571428571428,2.1428571428571423,8.571428571428573,2.7142857142857144
1,0.2857142857142857,-0.01000000000000012,2.142857142857143,4.999999999999999,2.714285714285714
1,2.095238095238095,0.1521428571428572,4.571428571428571,11.166666666666668,3.7142857142857144
1,0.6666666666666667,0.069,2.333333333333333,9.1,2.2
1,0.9464285714285714,0.08946428571428566,2.3392857142857144,4.2142857142857135,1.4464285714285712
3,-0.1333333333333333,-0.05033333333333334,2.033333333333333,2.5666666666666664,0.5
3,1.9999999999999998,0.22428571428571425,4.285714285714286,13.571428571428571,4.714285714285714
3,1.3333333333333335,0.2316666666666667,3.8333333333333335,13.5,5.333333333333333
3,1.0000000000000002,-0.05833333333333335,-0.666666666666667,1.833333333333334,-0.16666666666666607
3,1.1666666666666665,-0.016666666666666663,3.8333333333333335,11.333333333333336,4.0
0,-0.8,-0.06800000000000006,-1.833333333333333,0.1999999999999993,0.06666666666666732
3,0.6904761904761905,0.1704761904761905,3.380952380952381,11.119047619047619,2.904761904761904
0,0.33333333333333326,0.04500000000000004,-3.0,-2.333333333333334,-2.833333333333333
3,1.9333333333333336,0.09133333333333332,3.5333333333333337,7.2333333333333325,2.2333333333333334
3,0.7142857142857144,-0.1557142857142858,-0.4285714285714288,1.1428571428571406,0.0
1,0.3214285714285714,0.07339285714285715,0.7857142857142856,1.75,0.6607142857142856
3,0.2857142857142856,0.07428571428571423,0.7142857142857144,2.7142857142857135,2.7142857142857144
1,0.5714285714285715,0.05571428571428577,1.5714285714285716,6.285714285714285,3.142857142857143
3,0.16666666666666663,-0.06595238095238098,0.4761904761904767,0.9523809523809526,-1.2142857142857144
1,-0.2857142857142856,-0.06000000000000005,-2.9999999999999996,-4.428571428571429,-1.0
3,0.0,0.028571428571428525,1.4285714285714288,3.1428571428571423,-0.5714285714285712
1,0.5714285714285716,0.06142857142857139,3.571428571428571,9.857142857142858,3.1428571428571432
3,0.375,0.10625000000000001,1.375,3.0,1.125
1,-0.125,0.013749999999999984,-0.875,-4.125,1.25
3,0.8571428571428572,-0.04142857142857148,1.0,4.285714285714285,1.2857142857142856
0,0.08928571428571419,0.07035714285714284,1.0892857142857144,6.017857142857142,2.625
0,0.0,0.0014285714285714457,0.4285714285714284,3.2857142857142865,0.2857142857142856
1,0.5,0.06625000000000003,0.75,7.0,3.875
0,-0.14285714285714302,-0.08714285714285713,-0.9999999999999996,1.0,0.4285714285714288
0,-0.75,0.013749999999999929,-1.0,1.125,1.5
3,1.4464285714285714,0.01571428571428579,3.4464285714285716,10.767857142857142,4.517857142857142
3,0.375,0.048750000000000016,1.5,5.75,0.625
3,1.619047619047619,0.10714285714285715,2.5238095238095233,5.126984126984128,1.5714285714285712
3,1.0,0.05249999999999999,4.5,10.0,5.5
1,1.5357142857142856,0.08339285714285716,3.9464285714285716,10.589285714285714,1.8392857142857144
0,0.0,-0.022499999999999964,0.5,0.125,-0.625
1,0.375,0.013749999999999984,1.375,3.125,1.375
0,-0.75,-0.13750000000000007,-1.75,0.25,-1.5
3,0.6388888888888888,0.0026388888888889683,2.1805555555555554,4.833333333333334,2.458333333333333
0,-0.2222222222222221,-0.0311111111111112,0.0,-0.33333333333333215,0.22222222222222232
3,1.0,0.07124999999999998,1.375,6.375,2.0
0,-0.11111111111111116,-0.17444444444444446,-2.2222222222222223,-6.555555555555555,-1.1111111111111107
3,1.1111111111111114,0.022222222222222254,0.8888888888888893,5.444444444444445,3.0
1,-0.10000000000000009,-0.10200000000000004,-0.12222222222222223,-1.2111111111111104,-0.20000000000000018
1,1.0,-0.012499999999999956,2.5,5.25,2.625
0,0.0,-0.08999999999999997,-1.125,1.5,0.875
0,-0.2222222222222222,-0.008888888888888946,-0.22222222222222232,1.7777777777777768,0.0
0,-1.1111111111111112,-0.03666666666666668,-2.0,-3.1111111111111107,-1.0
0,0.625,-0.02499999999999991,0.875,2.125,2.875
3,0.4444444444444444,0.1555555555555556,3.1111111111111107,9.555555555555554,3.2222222222222223
1,0.26388888888888884,-0.019444444444444375,0.04166666666666696,4.138888888888889,0.3472222222222223
3,1.1111111111111112,-0.029999999999999916,1.5555555555555558,3.0,2.2222222222222223
1,0.6666666666666666,0.11888888888888882,2.888888888888889,6.111111111111111,2.3333333333333335
3,0.33333333333333326,-0.018888888888888844,-0.6666666666666665,0.8888888888888875,0.5555555555555554
0,0.11111111111111094,-0.03222222222222204,0.3333333333333339,4.555555555555557,2.1111111111111116
3,0.4444444444444444,0.008888888888888835,2.5555555555555554,5.111111111111111,1.8888888888888884
3,1.15,0.031749999999999945,2.7249999999999996,8.725000000000001,1.2000000000000002
1,-0.3333333333333335,-0.08333333333333331,-0.33333333333333304,3.666666666666668,1.333333333333333
1,-0.4444444444444444,0.08222222222222231,0.11111111111111072,2.333333333333334,2.555555555555556
0,-0.888888888888889,-0.13444444444444442,-3.666666666666667,-6.1111111111111125,-2.5555555555555554
