home,score,away
Cameroon,2–1 (a.e.t.),Colombia
Argentina,3–1 (a.e.t.),Netherlands
Netherlands,1–2,West Germany
Soviet Union,3–4 (a.e.t.),Belgium
Brazil,4–0,Poland
Argentina,1–0,Uruguay
Italy,0–2,France
Morocco,0–1,West Germany
England,3–0,Paraguay
Denmark,1–5,Spain
Brazil,1–1 (a.e.t.),France
West Germany,0–0 (a.e.t.),Mexico
Argentina,2–1,England
Spain,1–1 (a.e.t.),Belgium
France,0–2,West Germany
Argentina,2–0,Belgium
Belgium,2–4 (a.e.t.),France
Spain,3–0,Switzerland
Saudi Arabia,1–3,Sweden
Romania,3–2,Argentina
Netherlands,2–0,Republic of Ireland
Brazil,1–0,United States
Nigeria,1–2 (a.e.t.),Italy
Mexico,1–1 (a.e.t.),Bulgaria
Italy,2–1,Spain
Netherlands,2–3,Brazil
Bulgaria,2–1,Germany
Romania,2–2 (a.e.t.),Sweden
Bulgaria,1–2,Italy
Sweden,0–1,Brazil
Sweden,4–0,Bulgaria
Brazil,0–0 (a.e.t.),Italy
Brazil,4–1,Chile
France,1–0 (a.e.t.),Paraguay
Nigeria,1–4,Denmark
Germany,2–1,Mexico
Netherlands,2–1,FR Yugoslavia
Romania,0–1,Croatia
Argentina,2–2 (a.e.t.),England
Italy,0–0 (a.e.t.),France
Brazil,3–2,Denmark
Netherlands,2–1,Argentina
Germany,0–3,Croatia
Brazil,1–1 (a.e.t.),Netherlands
France,2–1,Croatia
Netherlands,1–2,Croatia
Brazil,0–3,France
West Germany,3–3 (a.e.t.),France
Poland,3–2,France
Italy,3–1,West Germany
Czechoslovakia,4–1,Costa Rica
Brazil,0–1,Argentina
West Germany,2–1,Netherlands
Republic of Ireland,0–0 (a.e.t.),Romania
Italy,2–0,Uruguay
Spain,1–2 (a.e.t.),Yugoslavia
England,1–0 (a.e.t.),Belgium
Argentina,0–0 (a.e.t.),Yugoslavia
Republic of Ireland,0–1,Italy
Czechoslovakia,0–1,West Germany
Cameroon,2–3 (a.e.t.),England
Argentina,1–1 (a.e.t.),Italy
West Germany,1–1 (a.e.t.),England
Italy,2–1,England
West Germany,1–0,Argentina
Argentina,3–2,West Germany
France,0–1,Senegal
Germany,2–0,Sweden
Uruguay,1–2,Denmark
Denmark,1–1,Senegal
France,0–0,Uruguay
Denmark,2–0,France
Senegal,3–3,Uruguay
Paraguay,2–2,South Africa
Spain,3–1,Slovenia
Spain,3–1,Paraguay
South Africa,1–0,Slovenia
South Africa,2–3,Spain
Slovenia,1–3,Paraguay
Brazil,2–1,Turkey
Argentina,2–1 (a.e.t.),Mexico
England,1–0,Ecuador
Portugal,1–0,Netherlands
Italy,1–0,Australia
Switzerland,0–0 (a.e.t.),Ukraine
Brazil,3–0,Ghana
Spain,1–3,France
Germany,1–1 (a.e.t.),Argentina
Italy,3–0,Ukraine
England,0–0 (a.e.t.),Portugal
Brazil,0–1,France
Germany,0–2 (a.e.t.),Italy
Portugal,0–1,France
Germany,3–1,Portugal
South Africa,1–1,Mexico
Brazil,3–1,Croatia
Russia,5–0,Saudi Arabia
China,0–2,Costa Rica
Brazil,4–0,China
Costa Rica,1–1,Turkey
Costa Rica,2–5,Brazil
Turkey,3–0,China
South Korea,2–0,Poland
United States,3–2,Portugal
South Korea,1–1,United States
Portugal,4–0,Poland
Portugal,0–1,South Korea
Poland,3–1,United States
Republic of Ireland,1–1,Cameroon
Italy,1–1 (a.e.t.),France
Uruguay,0–0,France
South Africa,0–3,Uruguay
France,0–2,Mexico
Mexico,0–1,Uruguay
France,1–2,South Africa
South Korea,2–0,Greece
Argentina,1–0,Nigeria
Argentina,4–1,South Korea
Greece,2–1,Nigeria
Nigeria,2–2,South Korea
Greece,0–2,Argentina
England,1–1,United States
Algeria,0–1,Slovenia
Slovenia,2–2,United States
Mexico,1–0,Cameroon
Brazil,0–0,Mexico
Cameroon,0–4,Croatia
Cameroon,1–4,Brazil
Croatia,1–3,Mexico
Spain,1–5,Netherlands
Chile,3–1,Australia
Australia,2–3,Netherlands
Spain,0–2,Chile
Australia,0–3,Spain
Netherlands,2–0,Chile
Colombia,3–0,Greece
Ivory Coast,2–1,Japan
Colombia,2–1,Ivory Coast
Egypt,0–1,Uruguay
Russia,3–1,Egypt
Uruguay,1–0,Saudi Arabia
Uruguay,3–0,Russia
Saudi Arabia,2–1,Egypt
Morocco,0–1,Iran
Portugal,3–3,Spain
Portugal,1–0,Morocco
Iran,0–1,Spain
Iran,1–1,Portugal
Spain,2–2,Morocco
France,2–1,Australia
Peru,0–1,Denmark
Denmark,1–1,Australia
Germany,8–0,Saudi Arabia
Germany,1–1,Republic of Ireland
Cameroon,1–0,Saudi Arabia
Cameroon,0–2,Germany
Saudi Arabia,0–3,Republic of Ireland
Argentina,1–0,Nigeria
England,1–1,Sweden
Sweden,2–1,Nigeria
Argentina,0–1,England
Sweden,1–1,Argentina
Nigeria,0–0,England
Croatia,0–1,Mexico
England,0–0,Algeria
Slovenia,0–1,England
United States,1–0,Algeria
Serbia,0–1,Ghana
Germany,4–0,Australia
Germany,0–1,Serbia
Ghana,1–1,Australia
Ghana,0–1,Germany
Australia,2–1,Serbia
Netherlands,2–0,Denmark
Japan,1–0,Cameroon
Netherlands,1–0,Japan
Cameroon,1–2,Denmark
Japan,0–0,Greece
Japan,1–4,Colombia
Greece,2–1,Ivory Coast
Uruguay,1–3,Costa Rica
England,1–2,Italy
Uruguay,2–1,England
Italy,0–1,Costa Rica
Italy,0–1,Uruguay
Costa Rica,0–0,England
Switzerland,2–1,Ecuador
France,1–0,Peru
Denmark,0–0,France
Australia,0–2,Peru
Argentina,1–1,Iceland
Croatia,2–0,Nigeria
Argentina,0–3,Croatia
Nigeria,2–0,Iceland
Nigeria,1–2,Argentina
Iceland,1–2,Croatia
Costa Rica,0–1,Serbia
Italy,2–0,Ecuador
Italy,1–2,Croatia
Mexico,2–1,Ecuador
Mexico,1–1,Italy
Ecuador,1–0,Croatia
Japan,2–2,Belgium
